restaurant_name,website,contact_page,google_rating,review_count
Bangkok Thai,https://bangkokthai.devournow.com/,,4.2,155.0
Papa Johns Pizza,https://locations.papajohns.com/united-states/la/70114/new-orleans/3580-holiday-drive?utm_source=gmb&utm_medium=organic&y_source=1_MTA2OTE5MTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,3.5,154.0
Ba Mien Restaurant,http://www.bamien.com/,,4.4,153.0
Rock N Roll Sushi,https://rocknrollsushi.com/locations/new-orleans-la/,https://rocknrollsushi.com/about/#contact,4.1,153.0
3rd Block Depot Kitchen + Bar,https://www.3rdblockdepot.com/,,4.2,150.0
Taqueria DF,http://orderpatyfoodtruck.com/,,4.2,146.0
Filmore in the Oaks,http://www.filmoreintheoaks.com/,http://www.filmoreintheoaks.com/contact/,4.3,139.0
CAVA,http://cava.com/,,4.4,134.0
Nighthawk Napoletana,https://www.nighthawknapoletana.com/,,4.5,130.0
Tacotastic Mexican Food Stand -,https://www.besttacosnola.com/,,4.8,126.0
PizzaCake,https://www.caesars.com/caesars-new-orleans/restaurants/pizza-cake-by-buddy-v?utm_campaign=gmb&utm_source=google&utm_medium=local&utm_term=NOR11&utm_content=restaurant&y_source=1_MTAwMDA3MTE2MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,3.9,124.0
Joe Joe on the Ridge,https://instagram.com/joejoeontheridge,,5.0,123.0
Restaurant and Bar at The Chloe,https://www.thechloenola.com/restaurant,,4.6,122.0
Yo nashi,http://www.yonashinola.com/,http://yonashinola.com/contact-us,4.3,121.0
Cote Sud,http://www.cotesudrestaurant.com/,,4.6,121.0
Sac-a-Lait,http://www.sac-a-laitrestaurant.com/,,4.4,119.0
Medium Rare,http://mediumrarerestaurant.com/,,4.2,117.0
Sushi Takumi Japanese Restaurant,https://www.sushitakuminola.com/,,4.7,117.0
Lyons Corner,https://lyonscornernola.com/?utm_source=google,,4.4,116.0
T&T Seafood & Po-Boys,https://www.facebook.com/@TT-Seafood-Po-Boys-100054869315419/,https://www.facebook.com/help/637205020878504,4.3,116.0
Bisutoro on Magazine,https://www.instagram.com/bisutoroonmagazine/?hl=en,,4.6,115.0
One more pie,https://www.onemorepiela.com/,,4.5,112.0
Tonti's Cocktail Bar & Bistro,http://www.tontis-bistro.com/,,4.5,111.0
The Lighthouse Bourbon Street,https://lighthouseoysterbar.com/,,4.4,109.0
MIDORI sushi & hibachi express,https://midorisushihibachiexpressla.com/,https://midorisushihibachiexpressla.com/#contact,4.8,108.0
Nobu - Caesars New Orleans,https://www.caesars.com/caesars-new-orleans/restaurants/nobu?utm_campaign=google&utm_source=google&utm_medium=local&utm_term=NOR3&utm_content=restaurant&y_source=1_MTA2ODAzNDI4NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,4.2,107.0
El Pollo Asado Del East,https://elpolloasadodeleastla.com/,https://elpolloasadodeleastla.com/#contact,4.3,105.0
Taceaux Loceaux,https://www.toasttab.com/local/order/taceaux-loceaux-737-octavia-st/r-2952eed4-14ba-49a3-ba92-fc0402e29ab9,,4.2,97.0
Gentilly Wings & Seafood,http://www.gentillywingsseafood.com/,,4.6,96.0
Nagomi,https://www.facebook.com/nagominola/,https://www.facebook.com/help/637205020878504,4.9,94.0
Cafetomas Uptown,https://www.instagram.com/cafetomas.uptown/,,4.7,90.0
Baya Bar Freret,http://www.thebayabar.com/,http://thebayabar.com/contact-us,4.6,89.0
Johnny's Jamaican Grill,https://johnnysjamaicangrillonline.com/zoHt,,4.3,88.0
Great wok,https://order.greatwokla.com/,,3.9,87.0
Beggars Banquet,http://beggarsbanquetneworleans.com/,,4.9,83.0
The Kitchen,https://www.facebook.com/theKitchen4801/,https://www.facebook.com/help/637205020878504,4.4,82.0
Bao Mi,https://www.facebook.com/baominola/,,4.5,79.0
Taqueria los Poblanos o Taqueria el Poblano,https://instagram.com/taqueria_el_poblano_?utm_medium=copy_link,,4.4,78.0
HIBACHI GRILL EXPRESS,https://hibachigrillneworleans.toast.site/order,,4.4,78.0
East Seafood,https://www.facebook.com/East-Seafood-LLC-102563247758895,,4.5,75.0
MCMXII,http://mcmxiilounge.com/,,3.4,74.0
Dees Xquisite Bar & Grill,https://instagram.com/deesxquisitebarandgrill?igshid=YmMyMTA2M2Y=,,3.8,70.0
Its Nola Baaaby,http://instagram.com/itsnolabaaabyfoodtruck,,4.0,69.0
AVO TACO,https://avotaco.com/new-orleans/,,3.9,67.0
China House,https://www.chinahousebullard.com/,,3.9,67.0
ORLEANS BROTHERS,http://www.orleansbrothers.com/,,4.6,66.0
Wollys Burgers,http://www.wollysburgers.com/,http://wollysburgers.com/contact/,4.6,65.0
Willie's Chicken Shack,https://willieschickenshackneworleans.com/,https://willieschickenshackneworleans.com/contact-us/,3.3,62.0
Brown Derby Pizza,https://www.theoriginalbrownderby.com/?utm_source=gbp,,3.3,61.0
Yummy Pho & Fried Chicken,https://yummyphonola.com/,,4.9,61.0
Lagos Tacos Ebenezer,http://orderlitostamales.com/,,4.8,60.0
BIG BREAKFAST,https://facebook.com/profile.php?id=166767233350262,,4.4,59.0
Roux on Orleans,https://www.bourbonorleans.com/eat-drink-jazz/roux/,https://www.bourbonorleans.com/contact-us/,4.1,59.0
Lotus Bistro,https://www.lotusbistronola.com/#/,,4.1,51.0
Everything Spice NOLA,http://www.everythingspicenola.com/,,5.0,50.0
Krab Kingz Seafood NOLA,https://www.orderkrabkingznola.com/,,4.4,49.0
Emeril's Brasserie,https://www.caesars.com/harrahs-new-orleans/restaurants/emerils-brasserie?utm_campaign=gmb&utm_source=google&utm_medium=local&utm_term=NOR15&utm_content=restaurant&y_source=1_MTAyMDM3MzI2NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,3.4,48.0
Pollitos Azucar LLC,https://www.pollitosazucarla.com/,,4.1,48.0
The Bell,https://thebellnola.com/,,4.6,45.0
